id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,period5,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class,set,source_meta,measure_source,bungo_ratio,ndc_all,shoshutsu,needs_review
JLIT021,太宰_人間失格.txt,太宰治,だざい おさむ,M,1909,1948,人間失格,000035,301,https://www.aozora.gr.jp/cards/000035/card301.html,1948,1948,editor,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,初出『展望』1948年6〜8月,39938,5085,127.32,0.2833,0.0293,38.8,292.7,209.6,8.0,0,0,26,0,10,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.117,,「展望」筑摩書房、1948（昭和23）年6～8月号,
JLIT022,太宰_斜陽.txt,太宰治,だざい おさむ,M,1909,1948,斜陽,000035,1565,https://www.aozora.gr.jp/cards/000035/card1565.html,1947,1947,editor,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,初出『新潮』1947年7〜10月,49152,5036,102.46,0.2459,0.0233,28.7,233.8,203.9,1.0,0,0,30,0,45,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.109,,「新潮　第四十四巻第七号～第十号」1947（昭和22）年7月1日～1947（昭和22）年10月1日,
JLIT023,室生犀星_蜜のあわれ.txt,室生犀星,むろう さいせい,M,1889,1962,蜜のあわれ,001579,53503,https://www.aozora.gr.jp/cards/001579/card53503.html,1959,1959,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Experimental,novella,general,canonical,dialogue,magazine,新字新仮名,complete,「新潮」1959年1〜4月。全篇対話体。v1 の「超現実主義的」を改める,41513,4130,99.49,0.1984,0.0069,17.3,261.6,39.7,3.9,0,0,29,0,0,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.062,,「新潮」1959（昭和34）年1月～4月,
JLIT024,宮本百合子_二つの庭.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,二つの庭,000311,2011,https://www.aozora.gr.jp/cards/000311/card2011.html,1947,1947,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1947年1・3〜9月号。三部作の第2部,108618,9043,83.26,0.272,0.0237,14.6,214.6,61.4,5.8,0,0,207,0,65,4,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.064,,「中央公論」1947（昭和22）年1、3～9月号,
JLIT025,宮本百合子_伸子.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,伸子,000311,2015,https://www.aozora.gr.jp/cards/000311/card2015.html,1924,1926,card,4_大正(1912-1925),4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「改造」1924年9月〜1926年9月。v1 の1927は単行本年,129441,10711,82.75,0.3156,0.015,21.4,176.3,90.5,87.8,0,0,333,0,182,8,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.108,,「改造」1924（大正13）年9月号～1926（大正15）年9月号,
JLIT026,宮本百合子_播州平野.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,播州平野,000311,2013,https://www.aozora.gr.jp/cards/000311/card2013.html,1946,1947,editor,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,「新日本文学」創刊号（1946年3月）ほか。カードに年次記載なし,59600,7391,124.01,0.2954,0.0174,19.6,222.5,27.7,3.4,0,0,134,0,3,2,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.081,,「新日本文学」（第1～11節）、「潮流」（第16・17節）,
JLIT027,宮本百合子_道標.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,道標,000311,2012,https://www.aozora.gr.jp/cards/000311/card2012.html,1947,1950,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「展望」1947年10月〜1950年12月。外字欠落86件,453216,19735,43.54,0.2627,0.0805,13.7,280.8,51.5,15.6,0,0,1000,0,184,55,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.047,,第一部「展望」筑摩書房、1947（昭和22）年10月号～1948（昭和23）年8月号  第二部「展望」筑摩書房、1948（昭和23）年9月号～1949（昭和24）年5月号  第三部「展望」筑摩書房、1949（昭和24）年10月号～1950（昭和25）年2月号、1950（昭和25）年4月～12月号  資料「展望」筑摩書房、1949（昭和24）年8、9月号,
JLIT028,小栗虫太郎_潜航艇「鷹の城」.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,潜航艇「鷹の城」,000125,43656,https://www.aozora.gr.jp/cards/000125/card43656.html,1935,1935,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,【修正】v1 の1977は底本（現代教養文庫）刊年。初出は「新青年」1935年4〜5月号,35620,5407,151.8,0.293,0.0566,21.3,263.1,36.2,24.1,0,0,66,0,452,8,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.075,,「新青年」博文館、1935（昭和10）年4～5月号,
JLIT029,小栗虫太郎_白蟻.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,白蟻,000125,666,https://www.aozora.gr.jp/cards/000125/card666.html,1935,1935,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1935年。カードに初出欄なし,31232,4451,142.51,0.2842,0.0061,19.9,270.6,59.2,21.5,0,0,32,0,1,1,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.069,,,
JLIT030,小栗虫太郎_黒死館.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,黒死館殺人事件,000125,1317,https://www.aozora.gr.jp/cards/000125/card1317.html,1934,1934,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1934年4〜12月号。外字欠落19件、ラテン文字1098字,170083,13018,76.54,0.3428,0.0438,22.6,232.5,34.8,16.7,0,0,208,0,1116,12,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.089,,「新青年」博文館、1934（昭和9）年4月号～12月号,
