id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class
JLIT034,徳冨蘆花_不如帰.txt,徳冨蘆花,とくとみ ろか,M,1868,1927,小説 不如帰,000280,1706,https://www.aozora.gr.jp/cards/000280/card1706.html,1898,1899,editor,2_明治中期(1887-1899),913,日本文学／小説・物語,Fiction,Melodrama,novel,general,popular,third,newspaper,新字新仮名,complete,「國民新聞」1898年11月〜1899年5月。文語的措辞が濃厚（文語標識156.5/万語）。外字欠落47件,80167,9564,119.3,0.2868,0.0097,156.5,93.9,23.2,10.6,47,0,301,0,0,0,B_過渡的文体
JLIT035,林芙美子_放浪記初出.txt,林芙美子,はやし ふみこ,F,1903,1951,放浪記（初出）,000291,45649,https://www.aozora.gr.jp/cards/000291/card45649.html,1928,1930,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Nonfiction,Autobiographical-Diary,diary-novel,general,middlebrow,first,magazine,新字新仮名,complete,「女人藝術」1928年10月〜1930年10月。初出形。校訂注の混入1件（「裏」はママ］）,64446,7572,117.49,0.2778,0.0507,16.8,66.7,140.6,5.4,5,34,140,0,5,0,C_口語体
JLIT036,林芙美子_新版放浪記.txt,林芙美子,はやし ふみこ,F,1903,1951,新版 放浪記,000291,1813,https://www.aozora.gr.jp/cards/000291/card1813.html,1928,1930,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Nonfiction,Autobiographical-Diary,diary-novel,general,middlebrow,first,book,新字新仮名,revised,初出は上に同じ。本テクストは1949年の改稿版（新版）。版差研究用のペア,154617,12781,82.66,0.2709,0.0358,29.8,63.3,136.5,3.1,0,0,315,0,5,11,C_口語体
JLIT037,海野十三_地球要塞.txt,海野十三,うんの じゅうざ,M,1897,1949,地球要塞,000160,3239,https://www.aozora.gr.jp/cards/000160/card3239.html,1940,1941,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,SF,novel,general,popular,first,magazine,新字新仮名,complete,「譚海」1940年8月〜1941年2月号,45402,5012,110.39,0.2635,0.0318,20.5,41.6,145.4,9.0,0,0,20,0,157,5,C_口語体
JLIT038,海野十三_怪塔王.txt,海野十三,うんの じゅうざ,M,1897,1949,怪塔王,000160,3370,https://www.aozora.gr.jp/cards/000160/card3370.html,1938,1938,card,5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-SF,novel,juvenile,popular,third,newspaper,新字新仮名,complete,「東日本小学生新聞」1938年4〜12月,99361,6774,68.18,0.2101,0.0191,23.1,165.8,28.9,9.2,0,0,31,0,4,238,C_口語体
JLIT039,海野十三_敗戦日記.txt,海野十三,うんの じゅうざ,M,1897,1949,海野十三敗戦日記,000160,1255,https://www.aozora.gr.jp/cards/000160/card1255.html,1944,1945,editor,5_昭和戦前(1926-1944),915,日本文学／日記・書簡・紀行,Nonfiction,Diary,diary,general,documentary,first,book,新字新仮名,complete,【重大】青空文庫の奥付・入力者注・外字一覧が本文末尾に残存。外字欠落110件。要再構築,50131,8499,169.54,0.3819,0.0284,49.7,15.0,21.9,1.4,110,0,76,4,330,393,B_過渡的文体
JLIT040,海野十三_浮かぶ飛行島.txt,海野十三,うんの じゅうざ,M,1897,1949,浮かぶ飛行島,000160,3527,https://www.aozora.gr.jp/cards/000160/card3527.html,1938,1938,card,5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-SF,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年倶楽部」1938年1〜12月,74707,7452,99.75,0.2748,0.0358,16.9,84.1,33.6,21.6,0,0,54,0,1,0,C_口語体
JLIT041,海野十三_火星兵団.txt,海野十三,うんの じゅうざ,M,1897,1949,火星兵団,000160,3368,https://www.aozora.gr.jp/cards/000160/card3368.html,1939,1940,card,5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-SF,novel,juvenile,popular,third,newspaper,新字新仮名,complete,「大毎小学生新聞」「東日本小学生新聞」1939年9月〜1940年12月,190367,9281,48.75,0.2221,0.0153,13.7,93.7,34.1,8.9,0,0,393,0,0,135,C_口語体
JLIT042,漱石_こころ.txt,夏目漱石,なつめ そうせき,M,1867,1916,こころ,000148,773,https://www.aozora.gr.jp/cards/000148/card773.html,1914,1914,card,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,newspaper,新字新仮名,complete,「朝日新聞」1914年4〜8月,103604,7040,67.95,0.2775,0.0011,19.4,160.3,285.7,30.3,0,0,173,0,411,0,C_口語体
JLIT043,漱石_三四郎.txt,夏目漱石,なつめ そうせき,M,1867,1916,三四郎,000148,794,https://www.aozora.gr.jp/cards/000148/card794.html,1908,1908,card,3_明治後期(1900-1911),913,日本文学／小説・物語,Fiction,Bildungsroman,novel,general,canonical,third,newspaper,新字新仮名,complete,「朝日新聞」1908年9月1日〜12月29日,103792,7500,72.26,0.2623,0.0093,13.0,67.0,20.8,0.9,0,0,352,0,179,16,C_口語体
JLIT044,漱石_坊っちゃん.txt,夏目漱石,なつめ そうせき,M,1867,1916,坊っちゃん,000148,752,https://www.aozora.gr.jp/cards/000148/card752.html,1906,1906,card,3_明治後期(1900-1911),913,日本文学／小説・物語,Fiction,Modern,novella,general,canonical,first,magazine,新字新仮名,complete,「ホトトギス」1906年4月,55672,5861,105.28,0.2823,0.0123,13.7,81.0,108.5,0.2,0,0,82,0,27,0,C_口語体
