# JLit コーパス取得マニフェスト
# set        : core=現行64点 / prio1-5=増補候補（優先度）
# author_ja  : 青空文庫の姓名を連結した表記（例 森鴎外）
# title      : 青空文庫の作品名。副題つきの場合は副題まで書いてよい
# aozora_work_id : 分かっていれば書く。空欄なら作者名＋作品名で解決する
# kana_orthography: 新字新仮名 / 新字旧仮名 / 旧字旧仮名。空欄なら新字新仮名を優先
set	id	author_ja	title	aozora_work_id	kana_orthography	note
core	JLIT047	福沢諭吉	福翁自伝	1864	新字新仮名	
core	JLIT048	岡本綺堂	両国の秋	478	新字新仮名	
core	JLIT049	岡本綺堂	半七捕物帳 69 白蝶怪	964	新字新仮名	
core	JLIT050	岡本綺堂	玉藻の前	480	新字新仮名	
core	JLIT051	岡本綺堂	青蛙堂鬼談	1307	新字新仮名	
core	JLIT052	岡本綺堂	飛騨の怪談	49682	新字新仮名	
core	JLIT053	芥川竜之介	偸盗	31	新字新仮名	
core	JLIT054	芥川竜之介	文芸的な、余りに文芸的な	26	新字旧仮名	
core	JLIT055	島崎藤村	千曲川のスケッチ	1503	新字新仮名	
core	JLIT056a	島崎藤村	夜明け前 01 第一部上	1504	新字新仮名	4分冊を結合して1作品とする
core	JLIT056b	島崎藤村	夜明け前 02 第一部下	1505	新字新仮名	同上
core	JLIT056c	島崎藤村	夜明け前 03 第二部上	1506	新字新仮名	同上
core	JLIT056d	島崎藤村	夜明け前 04 第二部下	1507	新字新仮名	同上
core	JLIT057a	島崎藤村	家 01 （上）	1509	新字新仮名	v1に欠落していた上巻
core	JLIT057b	島崎藤村	家 02 （下）	1510	新字新仮名	v1収録分
core	JLIT058	島崎藤村	新生	843	新字新仮名	
core	JLIT059	島崎藤村	破戒	1502	新字旧仮名	
core	JLIT060	森鴎外	ヰタ・セクスアリス	695	新字新仮名	
core	JLIT061	森鴎外	伊沢蘭軒	2084	新字旧仮名	
core	JLIT062	森鴎外	大塩平八郎	2298	新字旧仮名	
core	JLIT063	森鴎外	渋江抽斎	2058	新字新仮名	
core	JLIT064	森鴎外	青年	2522	新字新仮名	
prio1		ツルゲーネフ イワン	あいびき	5	新字新仮名	明治前期／二葉亭四迷訳。青空文庫では原著者の下に登録。作品名は「あいびき」
prio1		二葉亭四迷	浮雲			明治前期
prio1		尾崎紅葉	金色夜叉			明治前期
prio1		山田美妙	武蔵野			明治前期
prio1		幸田露伴	五重塔			明治前期
prio1		徳冨蘆花	良夜	46536	新字新仮名	明治前期／『自然と人生』は作業中。同書所収の写生文で代替
prio1		徳冨蘆花	花月の夜	46537	新字新仮名	明治前期／同上
prio1		森鴎外	舞姫			明治前期
prio1		正岡子規	歌よみに与ふる書			明治前期
prio1		福沢諭吉	学者安心論	47054	新字新仮名	明治前期／同上
prio1		福沢諭吉	旧藩情	45664	新字新仮名	明治前期／『文明論之概略』は青空文庫で作業中のため代替
